Rk,Name,Age,Pos,GP,G,A,P
1,Connor McDavid,29,F,4,2,9,11
2,Macklin Celebrini,19,F,4,5,4,9
3,Martin Necas,27,F,5,3,5,8
4,Lucas Raymond,23,F,4,1,7,8
5,Juraj Slafkovsky,21,F,4,3,4,7
6,Timo Meier,29,F,5,3,4,7
7,Leon Draisaitl,30,F,5,2,5,7
8,Tim Stützle,24,F,5,4,2,6
9,Nathan MacKinnon,30,F,4,3,3,6
10,Dalibor Dvorsky,20,F,4,3,3,6
11,Sidney Crosby,38,F,4,2,4,6
12,Nick Olesen,30,F,4,4,1,5
13,Auston Matthews,28,F,3,3,2,5
14,Mika Zibanejad,32,F,4,2,3,5
15,Artturi Lehkonen,30,F,4,2,3,5
16,Roman Cervenka,40,F,5,2,3,5
17,David Pastrnak,29,F,5,2,3,5
18,Mikko Rantanen,29,F,4,1,4,5
19,Mitch Marner,28,F,4,1,4,5
20,Rasmus Dahlin,25,D,4,1,4,5
21,Matthew Tkachuk,28,F,3,0,5,5
22,Filip Hronek,28,D,5,0,5,5
23,Sebastian Aho,28,F,4,3,1,4
24,Eduards Tralmaks,28,F,4,3,1,4
25,Mark Stone,33,F,4,2,2,4
26,Joel Armia,32,F,4,2,2,4
27,Adrian Kempe,29,F,4,2,2,4
28,William Nylander,29,F,4,2,2,4
29,Adam Ruzicka,26,F,4,2,2,4
30,Pavol Regenda,26,F,4,2,2,4
31,Kaapo Kakko,24,F,4,2,2,4
32,Roman Josi,35,D,5,2,2,4
33,Frederik Tiffels,30,F,5,2,2,4
34,Jack Eichel,29,F,3,1,3,4
35,Martin Gernat,32,D,4,1,3,4
36,Cale Makar,27,D,4,1,3,4
37,Thomas Harley,24,D,4,1,3,4
38,Nico Hischier,27,F,5,1,3,4
39,J.J. Moser,25,D,5,1,3,4
40,John Peterka,24,F,5,1,3,4
41,Quinn Hughes,26,D,3,0,4,4
42,Erik Karlsson,35,D,4,0,4,4
43,Zemgus Girgensons,32,F,4,0,4,4
44,Eetu Luostarinen,27,F,4,0,4,4
45,Brock Nelson,34,F,3,2,1,3
46,Brady Tkachuk,26,F,3,2,1,3
47,Gabriel Landeskog,33,F,4,2,1,3
48,Mikael Granlund,33,F,4,2,1,3
49,Filip Chlapik,28,F,4,2,1,3
50,Miro Heiskanen,26,D,4,2,1,3
51,Renars Krastenbergs,27,F,4,2,1,3
52,Louis Boudon,27,F,4,2,1,3
53,Damien Riat,28,F,5,2,1,3
54,Pius Suter,29,F,5,2,1,3
55,Lukas Reichel,23,F,5,2,1,3
56,Jack Hughes,24,F,3,1,2,3
57,Tom Wilson,31,F,4,1,2,3
58,Dustin Gazley,37,F,4,1,2,3
59,Mikkel Aagaard,30,F,4,1,2,3
60,Nikolaj Ehlers,29,F,4,1,2,3
61,Oscar Fisker Mølgaard,20,F,4,1,2,3
62,Dean Kukan,32,D,5,1,2,3
63,David Kämpf,31,F,5,1,2,3
64,Philipp Kurashev,26,F,5,1,2,3
65,Esa Lindell,31,D,4,0,3,3
66,Erik Haula,34,F,4,0,3,3
67,Niko Mikkola,29,D,4,0,3,3
68,Sven Andrighetto,32,F,5,0,3,3
69,Joel Kiviranta,29,F,3,2,0,2
70,Tage Thompson,28,F,3,2,0,2
71,Bo Horvat,30,F,4,2,0,2
72,Elias Pettersson,27,F,4,2,0,2
73,Nicholas Suzuki,26,F,4,2,0,2
74,Matthew Bradley,29,F,4,2,0,2
75,Dans Locmelis,22,F,4,2,0,2
76,Noah Hanifin,29,D,3,1,1,2
77,Zachary Werenski,28,D,3,1,1,2
78,Anton Lundell,24,F,3,1,1,2
79,Brock Faber,23,D,3,1,1,2
80,Victor Hedman,35,D,4,1,1,2
81,Tomas Tatar,35,F,4,1,1,2
82,Libor Hudacek,35,F,4,1,1,2
83,Filip Forsberg,31,F,4,1,1,2
